branch,cohort_source,policy,eligible_count,available_day1_count,selected_count,matured_selected_count,pending_selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,promotion_winner_count,promotion_neutral_count,promotion_loser_count,promotion_loser_rate,promotion_safe_rate,promotion_winner_dominance,promotion_winner_rate,episode_winner_recall,promotion_mean_return_10d,promotion_median_return_10d,promotion_mean_mfe_10d,promotion_mean_mae_10d,pre_confirmation_return_mean,promotion_delay_sessions_median,macro_daily_promotion_winner_rate,macro_daily_promotion_safe_rate,point_in_time_valid_rate,availability,matured_selected_dates,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_return_10d,median_return_10d,mean_mfe_10d,mean_mae_10d,macro_daily_winner_rate,macro_daily_loser_rate,macro_daily_safe_rate,macro_daily_winner_dominance,max_single_date_winner_contribution,max_single_date_selected_contribution,date_distribution,loser_rate_reduction_vs_baseline_pp
N,EXISTING_PENDING,N0_NORMAL_PHASE2_BASELINE,0,0.0,0,0,0,0,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES,,,,,,,,,,,,,,,,,,,,,,,,,,
N,EXISTING_PENDING,N1_FROZEN_DAY1_C,0,0.0,0,0,0,0,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES,,,,,,,,,,,,,,,,,,,,,,,,,,
N,EXISTING_PENDING,N2_MOMENTUM_TOP1,0,0.0,0,0,0,0,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES,,,,,,,,,,,,,,,,,,,,,,,,,,
N,EXISTING_PENDING,N3_MOMENTUM_TOP2,0,0.0,0,0,0,0,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES,,,,,,,,,,,,,,,,,,,,,,,,,,
N,EXISTING_PENDING,N4_MOMENTUM_TOP3,0,0.0,0,0,0,0,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES,,,,,,,,,,,,,,,,,,,,,,,,,,
N,EXISTING_PENDING,N_COUNT_MATCHED_MOMENTUM,0,0.0,0,0,0,0,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES,,,,,,,,,,,,,,,,,,,,,,,,,,
R,EXISTING_PENDING,R0_WEAK_MARKET_PHASE2_BASELINE,140,,140,18,122,10,10,14.0,14.5,0.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.05555555555555555,11.0,0.6111111111111112,6.0,0.3333333333333333,0.16278774656229916,0.5625053287487956,0.6666666666666666,0.08333333333333333,1.0,0.0,0.0,-2.4409087093341424,-2.2612811857370128,8.52399344879374,-13.314198381510181,0.05555555555555555,0.3333333333333333,0.6666666666666666,0.08333333333333333,1.0,0.17857142857142858,"{""2026-07-13"": 18, ""2026-07-14"": 21, ""2026-07-15"": 8, ""2026-07-16"": 15, ""2026-07-17"": 16, ""2026-07-20"": 14, ""2026-07-21"": 6, ""2026-07-22"": 25, ""2026-07-23"": 7, ""2026-07-24"": 10}",0.0
R,EXISTING_PENDING,R1_FROZEN_MARKET_PLUS_SURVIVAL,140,,29,5,24,6,10,2.9,1.5,0.4,0.20714285714285716,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.2,4.0,0.8,0.0,0.0,0.0,0.43448246865939283,1.0,0.2,1.0,0.6363636363636364,1.0,3.3760814123367,-1.098901098901095,11.883451166548054,-3.7271668415712718,0.2,0.0,1.0,0.2,1.0,0.41379310344827586,"{""2026-07-13"": 5, ""2026-07-14"": 12, ""2026-07-15"": 2, ""2026-07-16"": 5, ""2026-07-17"": 0, ""2026-07-20"": 0, ""2026-07-21"": 0, ""2026-07-22"": 0, ""2026-07-23"": 1, ""2026-07-24"": 4}",33.33333333333333
R,EXISTING_PENDING,R2_FROZEN_SURVIVAL_ONLY_DIAGNOSTIC,140,,68,5,63,10,10,6.8,4.5,0.0,0.4857142857142857,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.2,4.0,0.8,0.0,0.0,0.0,0.43448246865939283,1.0,0.2,1.0,0.6363636363636364,1.0,3.3760814123367,-1.098901098901095,11.883451166548054,-3.7271668415712718,0.2,0.0,1.0,0.2,1.0,0.3088235294117647,"{""2026-07-13"": 5, ""2026-07-14"": 21, ""2026-07-15"": 2, ""2026-07-16"": 10, ""2026-07-17"": 8, ""2026-07-20"": 3, ""2026-07-21"": 2, ""2026-07-22"": 12, ""2026-07-23"": 1, ""2026-07-24"": 4}",33.33333333333333
